tick,angle,x,y,vx,vy,horizontal_bps,vertical_bps
86,-90.0,191.89119913141133,-129.5738208297889,2.6373197394663728,-1.4357094467277194,52.746394789327454,-28.714188934554386
87,-90.0,194.50214569863448,-131.05921611649194,2.61094656722315,-1.4853952867030285,52.218931344463,-29.707905734060567
88,0.0,197.22111354642266,-132.38697478520584,2.7189678477881762,-1.3277586687138938,54.37935695576353,-26.555173374277878
89,-90.0,199.91289174166306,-133.76657830739632,2.6917781952403925,-1.3796035221904817,53.83556390480785,-27.592070443809632
90,-90.0,202.57775218062184,-135.19698978698273,2.6648604389587858,-1.4304114795864,53.29720877917572,-28.608229591728
91,-90.0,205.21596404060514,-136.6771930657862,2.6382118599832873,-1.480203278803485,52.76423719966574,-29.604065576069697
92,0.0,207.96146192057756,-138.0003723834436,2.745497879972429,-1.3231793176573698,54.90995759944858,-26.4635863531474
93,-90.0,210.67950484793337,-139.37548814151134,2.7180429273558127,-1.375115758067744,54.36085854711625,-27.50231516135488
94,-90.0,213.3703673719369,-140.80150161217185,2.6908625240035318,-1.4260134706605196,53.81725048007063,-28.520269413210393
95,-90.0,216.03432129636246,-142.27739484214408,2.6639539244255612,-1.4758932299722367,53.279078488511225,-29.517864599444735
96,0.0,218.80491979502366,-143.5967726966583,2.770598498661212,-1.319377854514222,55.41196997322424,-26.387557090284442
97,-90.0,221.54781233512074,-144.96816302077323,2.742892540097086,-1.371390324114952,54.85785080194172,-27.42780648229904
98,-90.0,224.26327597597512,-146.39052556608897,2.715463640854377,-1.4223625453157267,54.30927281708754,-28.447250906314533
99,-90.0,226.95158500631763,-147.86284088915366,2.6883090303425123,-1.4723153230647037,53.76618060685025,-29.446306461294075
100,0.0,229.74597626856036,-149.17906302971403,2.79439126224273,-1.316222140560359,55.8878252448546,-26.324442811207177
101,-90.0,232.51242364483005,-150.547360754094,2.7664473762696944,-1.3682977243799757,55.328947525393886,-27.365954487599513
102,-90.0,235.25120657371994,-151.96669255161046,2.7387829288898957,-1.419331797516463,54.77565857779791,-28.38663595032926
103,-90.0,237.96260169944,-153.43603774177407,2.7113951257200664,-1.4693451901636183,54.22790251440133,-29.386903803272368
104,-90.0,240.64688289976075,-154.95439605768584,2.684281200320745,-1.5183583159117604,53.6856240064149,-30.367166318235206
105,0.0,243.44138904094572,-156.31122811872768,2.794506141184959,-1.3568320610418434,55.89012282369918,-27.136641220836868
106,-90.0,246.20795014736933,-157.71932356595408,2.766561106423597,-1.4080954472264033,55.331222128471936,-28.161908944528065
107,-90.0,248.94684566911266,-159.17765713261912,2.7388955217433435,-1.4583335666650434,54.77791043486687,-29.16667133330087
108,-90.0,251.65835226175872,-160.68522405729223,2.711506592646053,-1.507566924673127,54.23013185292106,-30.15133849346254
109,0.0,254.47885002863674,-162.03253811107635,2.8204977668780318,-1.3473140537841222,56.40995533756063,-26.946281075682442
110,-90.0,257.27114284474436,-163.43130591100865,2.792292816107614,-1.398767799932295,55.84585632215229,-27.9753559986459
111,-90.0,260.0355127593203,-164.88049838314757,2.7643699145759175,-1.4491924721389065,55.28739829151835,-28.98384944277813
112,-90.0,262.7722390011135,-166.37910703501072,2.736726241793244,-1.49860865186316,54.73452483586488,-29.9721730372632
113,0.0,265.61690603877275,-167.71851989202267,2.8446670376592067,-1.3394128570119523,56.893340753184134,-26.788257140239047
114,-90.0,268.4331264331842,-169.10954451896754,2.8162203944114736,-1.3910246269448652,56.32440788822947,-27.820492538897305
115,-90.0,271.22118465050914,-170.55114868143107,2.7880582173249295,-1.441604162463536,55.76116434649859,-28.83208324927072
116,-90.0,273.9813623122498,-172.04232078966763,2.7601776617406752,-1.4911721082365617,55.203553234813505,-29.823442164731233
117,0.0,276.8485836598371,-173.37517461507326,2.867221347587301,-1.332853825405636,57.344426951746016,-26.657076508112716
118,-90.0,279.6871328212925,-174.75977139091884,2.8385491614553815,-1.3845967758455713,56.77098322910763,-27.691935516911425
119,-90.0,282.4972965182038,-176.19507625918246,2.810163696911342,-1.4353048682636265,56.20327393822684,-28.70609736527253
120,-90.0,285.27935860494586,-177.68007505898296,2.7820620867420383,-1.4849987998005008,55.64124173484076,-29.699975996010014
121,0.0,288.16769549170624,-179.00748402624203,2.888336886760405,-1.3274089672590583,57.766737735208096,-26.54817934518117
122,-90.0,291.02714903714434,-180.3867448410001,2.859453545438128,-1.379260814758073,57.18907090876256,-27.58521629516146
123,-90.0,293.85800807439796,-181.81682046729622,2.8308590372536204,-1.4300756262961027,56.61718074507241,-28.601512525922054
124,-90.0,296.66055854827624,-183.2966946098688,2.80255047387826,-1.4798741425725876,56.051009477565195,-29.59748285145175
125,0.0,299.5687223315335,-184.61958362936488,2.9081637832572507,-1.3228890194960683,58.163275665145015,-26.457780389921368
