tick,angle
382,-23.303558833271545
383,-22.34411212089843
384,-21.371012614310011
385,-20.384827352114321
386,-19.386143421330534
387,-18.375554656818988
388,-17.353678719277497
389,-16.321139362410189
390,-15.278571546773195
391,-14.226623358243231
392,-13.165945303851537
393,-12.097197937374837
394,-11.021045575332835
395,-9.9381552448268629
396,-8.8491986447105262
397,-7.7548480875099717
398,-6.6557773315200413
399,-5.5526609435293288
400,-4.4461734788198513
401,-3.3369894398055315
402,-2.2257832892931795
403,-1.1132289710064716
404,0
