tick,angle,x,y,vx,vy,horizontal_bps,vertical_bps
414,-60.5997736273685,1192.433393712135,-598.6337759589691,3.2056425835184386,-1.4349158431933666,64.11285167036877,-28.698316863867333
415,-60.535617868494164,1195.6393267702638,-600.0685881925489,3.205933058128725,-1.4348122335797742,64.1186611625745,-28.696244671595483
416,-60.47165947598108,1198.845675707762,-601.5030997773865,3.2063489374982725,-1.4345115848376626,64.12697874996545,-28.69023169675325
417,-60.40930601436467,1202.0525496426856,-602.937138913204,3.206873934923606,-1.4340391358173885,64.13747869847212,-28.68078271634777
418,-60.3510615199944,1205.2600529498163,-604.3705411851527,3.2075033071307986,-1.4334022719487416,64.15006614261597,-28.668045438974833
419,-60.2957349704816,1208.4682745169885,-605.8031661374426,3.2082215671720977,-1.4326249522900019,64.16443134344195,-28.652499045800038
420,-60.24713882598252,1211.6772883602728,-607.2348963080187,3.20901384328422,-1.4317301705760765,64.18027686568439,-28.63460341152153
421,-60.20539565730107,1214.8871433210666,-608.6656531394153,3.2098549607938827,-1.4307568313966175,64.19709921587766,-28.61513662793235
422,-60.17172017154653,1218.097885987184,-610.0953615587656,3.210742666117566,-1.429708419350331,64.21485332235133,-28.594168387006622
423,-60.143754241786375,1221.3095389360958,-611.5239836034763,3.2116529489116115,-1.4286220447107116,64.23305897823224,-28.572440894214232
424,-60.12431190747647,1224.5221018043026,-612.9515167809367,3.21256286820666,-1.4275331774603657,64.2512573641332,-28.550663549207314
425,-60.11276153159186,1227.7355632312197,-614.377975614296,3.213461426917195,-1.426458833359277,64.2692285383439,-28.52917666718554
426,-60.109798606873895,1230.9499013623183,-615.8033908732101,3.214338131098731,-1.4254152589141182,64.28676262197462,-28.508305178282363
427,-60.11276153159186,1234.1650734411046,-617.227825685347,3.215172078786392,-1.4244348121369557,64.30344157572785,-28.488696242739113
428,-60.12431190747647,1237.3810276682707,-618.6513572020309,3.215954227166122,-1.4235315166838336,64.31908454332243,-28.470630333676674
429,-60.143754241786375,1240.5977036281713,-620.0740759446483,3.216675959900624,-1.4227187426173256,64.33351919801248,-28.45437485234651
430,-60.17172017154653,1243.8150218357682,-621.496101989422,3.217318207596825,-1.422026044773718,64.3463641519365,-28.44052089547436
431,-60.20539565730107,1247.0328846325176,-622.9175835866617,3.2178627967494844,-1.4214815972397712,64.3572559349897,-28.429631944795425
432,-60.24713882598252,1250.251198720654,-624.338662271403,3.218314088136456,-1.4210786847411907,64.36628176272912,-28.421573694823813
433,-60.2957349704816,1253.469853301098,-625.7595067037619,3.2186545804441824,-1.420844432358867,64.37309160888364,-28.416888647177338
434,-60.3510615199944,1256.6887316957373,-627.1802946606135,3.2188783946392627,-1.4207879568516517,64.37756789278525,-28.415759137033035
435,-60.40930601436467,1259.9077116150004,-628.6012126034649,3.2189799192632322,-1.4209179428513687,64.37959838526464,-28.418358857027375
436,-60.47165947598108,1263.1266761792735,-630.0224385918308,3.2189645642732754,-1.421225988365917,64.37929128546551,-28.42451976731834
437,-60.535617868494164,1266.3455028608364,-631.4441593857016,3.218826681562875,-1.4217207938708418,64.3765336312575,-28.434415877416836
438,-60.5997736273685,1269.5640852471504,-632.86653672862,3.2185823863140754,-1.4223773429183848,64.37164772628151,-28.447546858367694
439,-60.65913921901892,1272.7823215131216,-634.2897251865377,3.218236265971237,-1.4231884579176866,64.36472531942474,-28.46376915835373
440,-60.714023467225985,1276.0001249329134,-635.7138558679459,3.217803419791799,-1.4241306814082224,64.35606839583598,-28.482613628164447
441,-60.76141695054371,1279.2174231793822,-637.1390375141393,3.2172982464687236,-1.4251816461933855,64.34596492937447,-28.50363292386771
442,-60.79923520087036,1282.4341684091642,-638.5653409108618,3.2167452297820436,-1.426303396722479,64.33490459564086,-28.52606793444958
443,-60.82534915044285,1285.6503469476945,-639.9927839469584,3.2161785385304174,-1.4274430360966763,64.32357077060834,-28.548860721933526
444,-60.838525396678705,1288.8659563374554,-641.4213671613929,3.2156093897609295,-1.4285832144345436,64.31218779521859,-28.571664288690872
445,-60.838525396678705,1292.0810263934995,-642.8510412173999,3.2150700560442496,-1.4296740560070167,64.30140112088499,-28.593481120140332
446,-60.82534915044285,1295.2956178989962,-644.2817089797903,3.214591505496663,-1.4306677623903712,64.29183010993326,-28.613355247807423
447,-60.80036059705383,1298.509799808177,-645.7132607952625,3.214181909180639,-1.4315518154721787,64.28363818361278,-28.631036309443573
448,-60.76213199642079,1301.7236705293012,-647.1455416234709,3.213870721124278,-1.4322808282083423,64.27741442248556,-28.645616564166847
449,-60.715145417876236,1304.9373459558346,-648.5783695638969,3.21367542653353,-1.4328279404259892,64.2735085306706,-28.656558808519783
450,-60.66087024190954,1308.1509479544218,-650.0115536475369,3.213601998587229,-1.4331840836399319,64.27203997174458,-28.66368167279864
451,-60.60239976658711,1311.3645932754503,-651.4449109538483,3.213645321028581,-1.4333573063114387,64.27290642057162,-28.667146126228772
452,-60.53953511693787,1314.5784154435146,-652.8782327777867,3.213822168064314,-1.4333218239383954,64.27644336128628,-28.666436478767906
453,-60.477404606260244,1317.7925314640722,-654.3113360405508,3.2141160205576673,-1.4331032627641604,64.28232041115335,-28.66206525528321
454,-60.41759007512976,1321.0070533274031,-655.7440454892793,3.2145218633309702,-1.4327094487284542,64.2904372666194,-28.654188974569085
455,-60.362804680666464,1324.2220772999024,-657.1762102167618,3.2150239724993486,-1.4321647274824958,64.30047944998697,-28.643294549649916
456,-60.31209782921433,1327.437684542307,-658.607702686768,3.215607242404497,-1.4314924700061646,64.31214484808993,-28.62984940012329
457,-60.26954860996254,1330.6539417234405,-660.0384177726173,3.2162571811335825,-1.4307150858493758,64.32514362267165,-28.614301716987516
458,-60.23555698695295,1333.8708907177252,-661.4682886715723,3.216948994284532,-1.4298708989550144,64.33897988569063,-28.59741797910029
459,-60.21160678527799,1337.0885496697247,-662.8972852620959,3.217658951999508,-1.4289965905236892,64.35317903999015,-28.579931810473784
