tick,angle,x,y,vx,vy,min_y
180,26.073795437774855,150.55674514498745,-10.578086584855553,0.50430086550733577,0.69917641600845581,-35.121688824613173
181,25.58716171138455,151.04824064041475,-9.8961405244735001,0.49149549542730114,0.68194606038205274,-35.121688824613173
182,25.114641647143142,151.5273879650297,-9.2318635107404443,0.47914732461495285,0.66427701373305659,-35.121688824613173
183,24.65563928966418,151.99462062594961,-8.5856360985846827,0.46723266091989346,0.64622741215576085,-35.121688824613173
184,24.209598951508401,152.45035263572254,-7.9577911728731365,0.45573200977292322,0.62784492571154582,-35.121688824613173
185,23.77600167942051,152.89497946743987,-7.348617300450921,0.44462683171732126,0.60917387242221566,-35.121688824613173
186,23.354362107571962,153.32887895874742,-6.7583618794127984,0.433899491307566,0.59025542103812279,-35.121688824613173
187,22.944225647089709,153.75241216955999,-6.1872341047734496,0.42353321081256928,0.57112777463934916,-35.121688824613173
188,22.545165969145746,154.16592285722118,-5.6354069922791181,0.41351068766118909,0.55182711249433147,-35.121688824613173
189,22.156782744855196,154.56974097867615,-5.1030215271487025,0.40381812145498225,0.53238546513041529,-35.121688824613173
190,21.778699611067196,154.9641820216882,-4.5901882256822928,0.39444104301206018,0.51283330146640937,-35.121688824613173
191,21.410562334982657,155.34954769716543,-4.0969894022515669,0.38536567547723205,0.49319882343072602,-35.121688824613173
192,21.052037154051455,155.7261265949459,-3.6234812761904274,0.37657889778045694,0.47350812606113973,-35.121688824613173
193,20.702809271698509,156.0941960103294,-3.1696964616938015,0.36806941538350002,0.453784814496626,-35.121688824613173
194,20.362581491464937,156.45402125463642,-2.7356451836468039,0.35982524430702267,0.43405127804699756,-35.121688824613173
195,20.031072973818283,156.80585622025259,-2.3213170119913187,0.35183496561617944,0.41432817165548536,-35.121688824613173
196,19.708018102568985,157.14994504792679,-1.9266828964955394,0.34408882767418558,0.39463411549577937,-35.121688824613173
197,19.393165449860675,157.48652143388213,-1.5516961638347977,0.33657638595535327,0.37498673266074167,-35.121688824613173
198,19.08627682912946,157.81581020342117,-1.1962943013965841,0.32928876953902037,0.35540186243821348,-35.121688824613173
199,18.787126426807529,158.13802662020882,-0.86039984626295185,0.32221641678766333,0.33589445513363225,-35.121688824613173
200,18.495500005318345,158.45337787336842,-0.54392193327659832,0.31535125315959306,0.31647791298635358,-35.121688824613173
201,18.211194170624701,158.76206341449478,-0.24675734238995706,0.30868554112634405,0.29716459088664127,-35.121688824613173
202,17.93401569705377,159.06427527902557,0.031208507610573089,0.30221186453079318,0.27796585000053015,-35.121688824613173
203,17.663780905294843,159.3601974098776,0.29010082969741335,0.29592213085202951,0.25889232208684027,-35.121688824613173
204,17.400315087663749,159.65000699240454,0.53005431192779862,0.2898095825269501,0.23995348223038529,-35.121688824613173
205,17.143451976270601,159.93387473167093,0.75121229852668736,0.28386773926637915,0.22115798659888872,-35.121688824613173
206,16.893033251605679,160.21196418840591,0.95372616445777558,0.27808945673498475,0.20251386593108825,-35.121688824613173
207,16.648908085401899,160.48443392420052,1.1377542731429942,0.27246973579460249,0.18402810868521863,-35.121688824613173
208,16.410932717657179,160.75143588391583,1.3034615936975835,0.26700195971530449,0.16570732055458931,-35.121688824613173
209,16.178970062655765,161.01311657083775,1.4510189004656737,0.26168068692193219,0.14755730676809017,-35.121688824613173
210,15.952889342508719,161.26961726487988,1.5806021925961251,0.25650069404213244,0.12958329213045144,-35.121688824613173
211,15.732565746094881,161.52107423078817,1.6923921387174836,0.25145696590829114,0.11178994612135855,-35.121688824613173
212,15.517880110586704,161.76761974536322,1.7865735586985165,0.24654551457504001,0.094181419981032952,-35.121688824613173
213,15.308718624448577,162.00938060079676,1.8633350044121955,0.24176085543353901,0.076761445713678989,-35.121688824613173
214,15.104972549485483,162.24647914738168,1.9228682467903695,0.23709854658492627,0.059533242378174075,-35.121688824613173
215,14.906537961129734,162.47903346810449,1.9653678549163918,0.23255432072282203,0.042499608126022319,-35.121688824613173
216,14.713315505319319,162.70715754588176,1.9910307962720519,0.22812407777726723,0.025662941355660208,-35.121688824613173
217,14.525210170193658,162.9309614230564,2.0000560628310242,0.2238038771746351,0.0090252665589720844,-35.121688824613173
